"","ccg19cd","year","Treatable_Mortality_Rate","Preventatable_Mortality_Rate","dept","RGN19CD","RGN19NM","id","Unemployment_percent","Qual_lvl4_percent","BAME_percent","Est_Population","Local_Authority_Expenditure","Claimant_percent","Managerial_occupation","Professional_occupation","GDHI_per_person","Local_Authority_Spend_per_pop","CCGpop","Total_Rural_population_2011","Total_Urban_population_2011","RUC11CD","RUC11","Broad_RUC11","OBJECTID","IMD_2019_Extent","Health_Proportion_10_per","X","X.1","X.2","X.3","professional_and_managerial"
"11","E38000002","2010",101.7,NA,"NHS_ASH_CCG","E12000008","South East",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,0.1088,0,NA,NA,NA,NA,NA
"12","E38000002","2011",86.6,121.4,"NHS_ASH_CCG","E12000008","South East",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,0.1088,0,NA,NA,NA,NA,NA
"13","E38000002","2012",78.3,110.7,"NHS_ASH_CCG","E12000008","South East",2,5.4,29.1,4.2,120128,33010,2.6,NA,NA,18204,0.274790223761321,120128,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,0.1088,0,NA,NA,NA,NA,NA
"14","E38000002","2015",68,120.6,"NHS_ASH_CCG","E12000008","South East",2,5.4,32.9,7.7,124047,35856,1.3,NA,NA,20028,0.289051730392513,124047,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,0.1088,0,NA,NA,NA,NA,NA
"15","E38000002","2016",69,113.7,"NHS_ASH_CCG","E12000008","South East",2,5.8,29.1,6.2,125871,38588,1.5,NA,NA,20529,0.306567835323466,125871,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,0.1088,0,NA,NA,NA,NA,NA
"16","E38000002","2017",71.9,111.8,"NHS_ASH_CCG","E12000008","South East",2,NA,24.5,6.5,127527,40208,1.7,NA,NA,20710,0.315290095430772,127527,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,0.1088,0,NA,NA,NA,NA,NA
"17","E38000002","2013",65.7,133,"NHS_ASH_CCG","E12000008","South East",2,6.4,26.2,7.5,121684,36673,2,NA,NA,18861,0.301378981624536,121684,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,0.1088,0,NA,NA,NA,NA,NA
"18","E38000002","2014",78.2,122,"NHS_ASH_CCG","E12000008","South East",2,4.1,35,8.3,123159,36673,1.3,NA,NA,19326,0.297769549931389,123159,43223,74733,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",1,0.1088,0,NA,NA,NA,NA,NA
"19","E38000004","2015",115.6,186.4,"NHS_BARK_CCG","E12000007","London",3,10.8,32.4,47.7,203101,550792,2.4,NA,NA,16246,2.71191180742586,203101,0,185911,6,"Urban with Major Conurbation","Predominantly Urban",3,0.4724,0.0091,NA,NA,NA,NA,NA
"20","E38000004","2010",114.5,NA,"NHS_BARK_CCG","E12000007","London",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,185911,6,"Urban with Major Conurbation","Predominantly Urban",3,0.4724,0.0091,NA,NA,NA,NA,NA
"21","E38000004","2018",106.1,167.2,"NHS_BARK_CCG","E12000007","London",3,5,33,45.3,211998,501238,3.2,NA,NA,17873,2.36435249389145,211998,0,185911,6,"Urban with Major Conurbation","Predominantly Urban",3,0.4724,0.0091,NA,NA,NA,NA,NA
"22","E38000004","2012",107,185.5,"NHS_BARK_CCG","E12000007","London",3,14.4,25.9,36.5,190663,516101,5.9,NA,NA,14943,2.70687548187115,190663,0,185911,6,"Urban with Major Conurbation","Predominantly Urban",3,0.4724,0.0091,NA,NA,NA,NA,NA
"23","E38000004","2013",133.4,159.7,"NHS_BARK_CCG","E12000007","London",3,14.1,28.2,39.8,194576,504438,4.2,NA,NA,15240,2.5924985609736,194576,0,185911,6,"Urban with Major Conurbation","Predominantly Urban",3,0.4724,0.0091,NA,NA,NA,NA,NA
"24","E38000004","2016",101.8,176.2,"NHS_BARK_CCG","E12000007","London",3,7.4,33.2,44.2,208182,552783,2.4,NA,NA,16649,2.65528720062253,208182,0,185911,6,"Urban with Major Conurbation","Predominantly Urban",3,0.4724,0.0091,NA,NA,NA,NA,NA
"25","E38000004","2019",106.8,186.5,"NHS_BARK_CCG","E12000007","London",3,6,33.1,45.1,212906,497258,4,NA,NA,18928,2.33557532432153,212906,0,185911,6,"Urban with Major Conurbation","Predominantly Urban",3,0.4724,0.0091,NA,NA,NA,NA,NA
"26","E38000004","2011",109.9,190.8,"NHS_BARK_CCG","E12000007","London",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,185911,6,"Urban with Major Conurbation","Predominantly Urban",3,0.4724,0.0091,NA,NA,NA,NA,NA
"27","E38000004","2017",105.7,161.5,"NHS_BARK_CCG","E12000007","London",3,9.5,30.7,45.9,210711,577538,2.3,NA,NA,16879,2.74090104455866,210711,0,185911,6,"Urban with Major Conurbation","Predominantly Urban",3,0.4724,0.0091,NA,NA,NA,NA,NA
"28","E38000004","2014",127,206.2,"NHS_BARK_CCG","E12000007","London",3,11.5,29.5,44.5,198650,504438,2.9,NA,NA,15434,2.53933048074503,198650,0,185911,6,"Urban with Major Conurbation","Predominantly Urban",3,0.4724,0.0091,NA,NA,NA,NA,NA
"29","E38000005","2010",82,NA,"NHS_BARNET_CCG","E12000007","London",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,356386,6,"Urban with Major Conurbation","Predominantly Urban",4,0.0523,0,NA,NA,NA,NA,NA
"30","E38000005","2016",67.2,96.5,"NHS_BARNET_CCG","E12000007","London",4,3.6,55.7,34.8,384774,647647,1.4,NA,NA,28824,1.68318805324684,384774,0,356386,6,"Urban with Major Conurbation","Predominantly Urban",4,0.0523,0,NA,NA,NA,NA,NA
"31","E38000005","2013",73.8,104.9,"NHS_BARNET_CCG","E12000007","London",4,5.7,50.4,28.4,368301,603965,2.2,NA,NA,23973,1.63986793410824,368301,0,356386,6,"Urban with Major Conurbation","Predominantly Urban",4,0.0523,0,NA,NA,NA,NA,NA
"32","E38000005","2011",79.3,104.9,"NHS_BARNET_CCG","E12000007","London",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,356386,6,"Urban with Major Conurbation","Predominantly Urban",4,0.0523,0,NA,NA,NA,NA,NA
"33","E38000005","2012",70.3,112.6,"NHS_BARNET_CCG","E12000007","London",4,10.3,49.5,32.5,363777,638050,2.8,NA,NA,23059,1.7539591562963,363777,0,356386,6,"Urban with Major Conurbation","Predominantly Urban",4,0.0523,0,NA,NA,NA,NA,NA
"34","E38000005","2017",59.2,93.8,"NHS_BARNET_CCG","E12000007","London",4,3,53.8,28.1,387803,625121,1.4,NA,NA,28940,1.61195503902755,387803,0,356386,6,"Urban with Major Conurbation","Predominantly Urban",4,0.0523,0,NA,NA,NA,NA,NA
"35","E38000005","2018",61.4,87.9,"NHS_BARNET_CCG","E12000007","London",4,4.9,51.5,33.8,392140,712838,1.8,NA,NA,30271,1.81781506604784,392140,0,356386,6,"Urban with Major Conurbation","Predominantly Urban",4,0.0523,0,NA,NA,NA,NA,NA
"36","E38000005","2014",71.1,93.7,"NHS_BARNET_CCG","E12000007","London",4,4.8,43.7,31.8,373745,603965,1.6,NA,NA,25255,1.61598148470214,373745,0,356386,6,"Urban with Major Conurbation","Predominantly Urban",4,0.0523,0,NA,NA,NA,NA,NA
"37","E38000005","2015",63.2,107.6,"NHS_BARNET_CCG","E12000007","London",4,8.6,49.1,31,378778,644690,1.5,NA,NA,28051,1.70202598883779,378778,0,356386,6,"Urban with Major Conurbation","Predominantly Urban",4,0.0523,0,NA,NA,NA,NA,NA
"38","E38000006","2017",98.7,172.9,"NHS_BARNS_CCG","E12000003","Yorkshire and The Humber",5,5.5,31.8,1.4,243341,519492,2.7,NA,NA,16105,2.13483136832675,243341,24173,207048,5,"Urban with Minor Conurbation","Predominantly Urban",5,0.3838,0.3469,NA,NA,NA,NA,NA
"39","E38000006","2014",95.4,168.5,"NHS_BARNS_CCG","E12000003","Yorkshire and The Humber",5,8.4,22.6,1.5,237971,494593,2.5,NA,NA,15075,2.07837509612516,237971,24173,207048,5,"Urban with Minor Conurbation","Predominantly Urban",5,0.3838,0.3469,NA,NA,NA,NA,NA
"40","E38000006","2015",98.4,174.9,"NHS_BARNS_CCG","E12000003","Yorkshire and The Humber",5,6.3,22.8,2.3,239855,464451,2.2,NA,NA,15534,1.93638239769861,239855,24173,207048,5,"Urban with Minor Conurbation","Predominantly Urban",5,0.3838,0.3469,NA,NA,NA,NA,NA
"41","E38000006","2010",122.5,NA,"NHS_BARNS_CCG","E12000003","Yorkshire and The Humber",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24173,207048,5,"Urban with Minor Conurbation","Predominantly Urban",5,0.3838,0.3469,NA,NA,NA,NA,NA
"42","E38000006","2013",97.4,169.5,"NHS_BARNS_CCG","E12000003","Yorkshire and The Humber",5,10.5,22.4,1.7,235811,494593,3.8,NA,NA,14569,2.09741275852272,235811,24173,207048,5,"Urban with Minor Conurbation","Predominantly Urban",5,0.3838,0.3469,NA,NA,NA,NA,NA
"43","E38000006","2016",87.6,161.8,"NHS_BARNS_CCG","E12000003","Yorkshire and The Humber",5,5.5,26.8,1.9,241847,511312,2.1,NA,NA,15594,2.11419616534421,241847,24173,207048,5,"Urban with Minor Conurbation","Predominantly Urban",5,0.3838,0.3469,NA,NA,NA,NA,NA
"44","E38000006","2011",105.1,184.9,"NHS_BARNS_CCG","E12000003","Yorkshire and The Humber",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24173,207048,5,"Urban with Minor Conurbation","Predominantly Urban",5,0.3838,0.3469,NA,NA,NA,NA,NA
"45","E38000006","2012",98,171.1,"NHS_BARNS_CCG","E12000003","Yorkshire and The Humber",5,11.3,21.3,1.8,233762,464421,5,NA,NA,14190,1.98672581514532,233762,24173,207048,5,"Urban with Minor Conurbation","Predominantly Urban",5,0.3838,0.3469,NA,NA,NA,NA,NA
"46","E38000006","2018",90.7,189.9,"NHS_BARNS_CCG","E12000003","Yorkshire and The Humber",5,5.8,25.8,2,245199,406778,3.2,NA,NA,16684,1.65897087671646,245199,24173,207048,5,"Urban with Minor Conurbation","Predominantly Urban",5,0.3838,0.3469,NA,NA,NA,NA,NA
"47","E38000006","2019",95.4,173.3,"NHS_BARNS_CCG","E12000003","Yorkshire and The Humber",5,4.4,26.6,2.4,246866,372213,3.2,NA,NA,17093,1.50775319404049,246866,24173,207048,5,"Urban with Minor Conurbation","Predominantly Urban",5,0.3838,0.3469,NA,NA,NA,NA,NA
"48","E38000007","2011",75.8,129.1,"NHS_BAB_CCG","E12000006","East of England",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21568,226530,4,"Urban with City and Town","Predominantly Urban",6,0.1848,0.0128,NA,NA,NA,NA,NA
"49","E38000007","2017",75.1,141.2,"NHS_BAB_CCG","E12000006","East of England",6,3,34.3,7.7,130527,50163,1.2,NA,NA,24096,0.382559659941599,261054,21568,226530,4,"Urban with City and Town","Predominantly Urban",6,0.1848,0.0128,NA,NA,NA,NA,NA
"50","E38000007","2018",86.2,143.2,"NHS_BAB_CCG","E12000006","East of England",6,2.1,27.7,6,131206,61232.5,2,NA,NA,25520.5,0.447282077645508,262412,21568,226530,4,"Urban with City and Town","Predominantly Urban",6,0.1848,0.0128,NA,NA,NA,NA,NA
"51","E38000007","2010",84.8,NA,"NHS_BAB_CCG","E12000006","East of England",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21568,226530,4,"Urban with City and Town","Predominantly Urban",6,0.1848,0.0128,NA,NA,NA,NA,NA
"52","E38000007","2015",76.3,121.4,"NHS_BAB_CCG","E12000006","East of England",6,5.7,30.75,10.1,129177,51849.5,1.2,NA,NA,22694.5,0.414723809354841,258354,21568,226530,4,"Urban with City and Town","Predominantly Urban",6,0.1848,0.0128,NA,NA,NA,NA,NA
"53","E38000007","2012",83.7,131.3,"NHS_BAB_CCG","E12000006","East of England",6,7.5,29.4,4.7,125340,44178.5,2.95,NA,NA,20599,0.330921344527198,250680,21568,226530,4,"Urban with City and Town","Predominantly Urban",6,0.1848,0.0128,NA,NA,NA,NA,NA
"54","E38000007","2013",76.3,132.6,"NHS_BAB_CCG","E12000006","East of England",6,7.9,35.95,6.65,126616,49222.5,2.3,NA,NA,20945,0.398822833029789,253232,21568,226530,4,"Urban with City and Town","Predominantly Urban",6,0.1848,0.0128,NA,NA,NA,NA,NA
"55","E38000007","2014",86.2,127.5,"NHS_BAB_CCG","E12000006","East of England",6,6.4,32.8,7,128295,49222.5,1.4,NA,NA,21432,0.393276482303568,256590,21568,226530,4,"Urban with City and Town","Predominantly Urban",6,0.1848,0.0128,NA,NA,NA,NA,NA
"56","E38000007","2019",72.4,124.3,"NHS_BAB_CCG","E12000006","East of England",6,3.5,33.5,7.45,132110,48844.5,2.3,NA,NA,25976,0.39722543030499,264220,21568,226530,4,"Urban with City and Town","Predominantly Urban",6,0.1848,0.0128,NA,NA,NA,NA,NA
"57","E38000007","2016",76.2,130.4,"NHS_BAB_CCG","E12000006","East of England",6,5.8,33.65,8.3,130268.5,47330,1.25,NA,NA,23566,0.363215731246926,260537,21568,226530,4,"Urban with City and Town","Predominantly Urban",6,0.1848,0.0128,NA,NA,NA,NA,NA
"58","E38000008","2016",98.2,152.1,"NHS_BASS_CCG","E12000004","East Midlands",7,6.4,29.5,2.8,115212,29495,1.6,NA,NA,16854,0.256006318786238,115212,47588,65275,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",7,0.2078,0.1143,NA,NA,NA,NA,NA
"59","E38000008","2014",90,171.3,"NHS_BASS_CCG","E12000004","East Midlands",7,8.6,20.3,2.5,114256,29277,1.9,NA,NA,15832,0.256240372496849,114256,47588,65275,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",7,0.2078,0.1143,NA,NA,NA,NA,NA
"60","E38000008","2019",91.4,154.5,"NHS_BASS_CCG","E12000004","East Midlands",7,3,16.3,4,117459,30445,2.6,NA,NA,18596,0.259196826126563,117459,47588,65275,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",7,0.2078,0.1143,NA,NA,NA,NA,NA
"61","E38000008","2011",72.8,169.4,"NHS_BASS_CCG","E12000004","East Midlands",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47588,65275,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",7,0.2078,0.1143,NA,NA,NA,NA,NA
"62","E38000008","2013",84.7,155.1,"NHS_BASS_CCG","E12000004","East Midlands",7,4.8,23.6,1.4,113704,29277,2.7,NA,NA,15290,0.257484345317667,113704,47588,65275,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",7,0.2078,0.1143,NA,NA,NA,NA,NA
"63","E38000008","2017",81.6,173.5,"NHS_BASS_CCG","E12000004","East Midlands",7,4,31.5,NA,116304,30674,1.6,NA,NA,17202,0.263739854175265,116304,47588,65275,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",7,0.2078,0.1143,NA,NA,NA,NA,NA
"64","E38000008","2010",104.2,NA,"NHS_BASS_CCG","E12000004","East Midlands",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47588,65275,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",7,0.2078,0.1143,NA,NA,NA,NA,NA
"65","E38000008","2015",82.6,156.6,"NHS_BASS_CCG","E12000004","East Midlands",7,3.4,24.7,NA,114689,28912,1.6,NA,NA,16914,0.252090435874408,114689,47588,65275,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",7,0.2078,0.1143,NA,NA,NA,NA,NA
"66","E38000008","2012",87.1,148,"NHS_BASS_CCG","E12000004","East Midlands",7,10.7,28.3,1.8,113235,34799,3.2,NA,NA,14966,0.307316642380889,113235,47588,65275,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",7,0.2078,0.1143,NA,NA,NA,NA,NA
"67","E38000008","2018",89.7,144.1,"NHS_BASS_CCG","E12000004","East Midlands",7,5,20.3,NA,116839,30740,2.3,NA,NA,18130,0.263097082309845,116839,47588,65275,2,"Largely Rural (rural including hub towns 50-79%) ","Predominantly Rural",7,0.2078,0.1143,NA,NA,NA,NA,NA
"68","E38000009","2011",74.2,135.1,"NHS_BANE_CCG","E12000009","South West",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37103,138913,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",8,0.0402,0.0087,NA,NA,NA,NA,NA
"69","E38000009","2012",67.9,106.3,"NHS_BANE_CCG","E12000009","South West",8,6.1,44.6,5.3,177196,338982,1.9,NA,NA,18947,1.91303415426985,177196,37103,138913,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",8,0.0402,0.0087,NA,NA,NA,NA,NA
"70","E38000009","2017",66.2,108,"NHS_BANE_CCG","E12000009","South West",8,2.2,47.7,4,188678,377257,1.6,NA,NA,21802,1.99947529653696,188678,37103,138913,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",8,0.0402,0.0087,NA,NA,NA,NA,NA
"71","E38000009","2014",61.8,95.1,"NHS_BANE_CCG","E12000009","South West",8,5.6,43.8,3.7,181241,312325,1,NA,NA,20223,1.72325798246534,181241,37103,138913,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",8,0.0402,0.0087,NA,NA,NA,NA,NA
"72","E38000009","2013",68.2,127.4,"NHS_BANE_CCG","E12000009","South West",8,4.3,41.8,3.9,179460,312325,1.5,NA,NA,19632,1.74035996879527,179460,37103,138913,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",8,0.0402,0.0087,NA,NA,NA,NA,NA
"73","E38000009","2010",75.8,NA,"NHS_BANE_CCG","E12000009","South West",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37103,138913,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",8,0.0402,0.0087,NA,NA,NA,NA,NA
"74","E38000009","2015",68,115.1,"NHS_BANE_CCG","E12000009","South West",8,4.2,47.7,5,184287,347094,0.9,NA,NA,21633,1.88344267365577,184287,37103,138913,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",8,0.0402,0.0087,NA,NA,NA,NA,NA
"75","E38000009","2016",73,122.9,"NHS_BANE_CCG","E12000009","South West",8,3.8,45.5,4.6,186946,379204,1.2,NA,NA,21753,2.02841462240433,186946,37103,138913,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",8,0.0402,0.0087,NA,NA,NA,NA,NA
"76","E38000009","2018",68.8,106.3,"NHS_BANE_CCG","E12000009","South West",8,2.9,48.9,5.1,192106,366144,1.7,NA,NA,23129,1.9059477580086,192106,37103,138913,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",8,0.0402,0.0087,NA,NA,NA,NA,NA
"77","E38000010","2018",83.1,137.1,"NHS_BED_CCG","E12000006","East of England",9,2.85,40.05,10.55,227614.5,342595,1.95,NA,NA,22023.5,1.56286185600397,455229,149376,262484,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",9,0.0688,0.0269,NA,NA,NA,NA,NA
"78","E38000010","2016",74.6,128.4,"NHS_BED_CCG","E12000006","East of England",9,3.3,38.05,9.45,222772.5,324204.5,1.25,NA,NA,20627,1.50784062373516,445545,149376,262484,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",9,0.0688,0.0269,NA,NA,NA,NA,NA
"79","E38000010","2015",78.6,124.3,"NHS_BED_CCG","E12000006","East of England",9,4,38.25,10.4,219398.5,313729.5,1.4,NA,NA,20127.5,1.49106462418859,438797,149376,262484,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",9,0.0688,0.0269,NA,NA,NA,NA,NA
"80","E38000010","2010",94.4,NA,"NHS_BED_CCG","E12000006","East of England",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149376,262484,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",9,0.0688,0.0269,NA,NA,NA,NA,NA
"81","E38000010","2014",82.1,111.1,"NHS_BED_CCG","E12000006","East of England",9,3.85,36.5,11.8,215922.5,325478,1.5,NA,NA,18998,1.57720341975784,431845,149376,262484,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",9,0.0688,0.0269,NA,NA,NA,NA,NA
"82","E38000010","2017",79.2,105.4,"NHS_BED_CCG","E12000006","East of England",9,2.95,35.85,13.25,224971,346291.5,1.65,NA,NA,21152,1.60415146164959,449942,149376,262484,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",9,0.0688,0.0269,NA,NA,NA,NA,NA
"83","E38000010","2011",81.9,136.5,"NHS_BED_CCG","E12000006","East of England",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149376,262484,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",9,0.0688,0.0269,NA,NA,NA,NA,NA
"84","E38000010","2012",76.5,126.1,"NHS_BED_CCG","E12000006","East of England",9,6.35,37.25,7.5,209480,372559.5,3.1,NA,NA,17966,1.83019692631482,418960,149376,262484,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",9,0.0688,0.0269,NA,NA,NA,NA,NA
"85","E38000010","2013",80.3,126.4,"NHS_BED_CCG","E12000006","East of England",9,6.85,35.15,9.85,212673,325478,2.3,NA,NA,18592.5,1.60122711967418,425346,149376,262484,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",9,0.0688,0.0269,NA,NA,NA,NA,NA
"86","E38000010","2019",72.4,122.4,"NHS_BED_CCG","E12000006","East of England",9,2.25,43.95,10.55,230970,344995,2.3,NA,NA,22370,1.55321794099812,461940,149376,262484,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",9,0.0688,0.0269,NA,NA,NA,NA,NA
"87","E38000011","2010",77.9,NA,"NHS_BEX_CCG","E12000007","London",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,231845,6,"Urban with Major Conurbation","Predominantly Urban",10,0.0755,0,NA,NA,NA,NA,NA
"88","E38000011","2012",72.5,134.8,"NHS_BEX_CCG","E12000007","London",10,6.6,28.2,17.1,234308,390072,3,NA,NA,18678,1.66478310599723,234308,152,231845,6,"Urban with Major Conurbation","Predominantly Urban",10,0.0755,0,NA,NA,NA,NA,NA
"89","E38000011","2018",78.3,129.2,"NHS_BEX_CCG","E12000007","London",10,3.2,42,17.9,247258,362688,1.3,NA,NA,22525,1.46684030445931,247258,152,231845,6,"Urban with Major Conurbation","Predominantly Urban",10,0.0755,0,NA,NA,NA,NA,NA
"90","E38000011","2015",81.8,130.2,"NHS_BEX_CCG","E12000007","London",10,7.4,33.6,14.4,242387,371050,1.2,NA,NA,21032,1.53081642167278,242387,152,231845,6,"Urban with Major Conurbation","Predominantly Urban",10,0.0755,0,NA,NA,NA,NA,NA
"91","E38000011","2014",77.6,146.2,"NHS_BEX_CCG","E12000007","London",10,5.5,33.2,15.7,240016,380531,1.5,NA,NA,19701,1.58544013732418,240016,152,231845,6,"Urban with Major Conurbation","Predominantly Urban",10,0.0755,0,NA,NA,NA,NA,NA
