"","supplier","SICCode.SicText_1"
"1378","ROSS AUTO ENGINEERING LTD","47749 - Retail sale of medical and orthopaedic goods in specialised stores (not incl. hearing aids) n.e.c."
"1447","CORPORATE TRAVEL MANAGEMENT NORTH LTD","79110 - Travel agency activities"
"1448","DRIVE DEVILBISS SIDHIL LTD","25990 - Manufacture of other fabricated metal products n.e.c."
"1449","ASSOCIATED CHEMISTS (WICKER) LTD","47730 - Dispensing chemist in specialised stores"
"1453","SHEILING SCHOOL","85590 - Other education n.e.c."
"1461","MARIE CURIE CANCER CARE","63990 - Other information service activities n.e.c."
"1463","MARIE CURIE","63990 - Other information service activities n.e.c."
"1537","MARIE CURIE CANCER","63990 - Other information service activities n.e.c."
"1636","MARIEAA CURIEAA CANCERAA CARE","63990 - Other information service activities n.e.c."
"1662","MARIE CURIE CANCER  CARE","63990 - Other information service activities n.e.c."
"1918","NHS TRUST MARIE CURIE CANCER CARE","63990 - Other information service activities n.e.c."
"2015","TALLEY GROUP LTD","32500 - Manufacture of medical and dental instruments and supplies"
"2060","SCOPE","85310 - General secondary education"
"2065","SCOPE ABOUT DISABILITY","85310 - General secondary education"
"2078","NATIONAL STAR COLLEGE","85410 - Post-secondary non-tertiary education"
"2079","NATIONAL STAR FOUNDATION LTD","85410 - Post-secondary non-tertiary education"
"2083","NATIONAL STAR FOUNDATION","85410 - Post-secondary non-tertiary education"
"2096","FOUNDATION TRUST NATIONAL STAR FOUNDATION","85410 - Post-secondary non-tertiary education"
"2167","SEWELL CONSTRUCTION","41201 - Construction of commercial buildings"
"2169","CAMPHILL VILLAGE TRUST","87900 - Other residential care activities n.e.c."
"2171","MENCAP","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"2189","ROYAL MENCAP SOCIETY","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"2198","LEONARD CHESHIRE DISABILITY","86900 - Other human health activities"
"2225","HONRESFIELD LEONARD CHESHIRE","86900 - Other human health activities"
"2408","VOLUNTARY ACTION LEEDS","88990 - Other social work activities without accommodation n.e.c."
"2417","PEACOCKS MEDICAL GROUP LTD","32500 - Manufacture of medical and dental instruments and supplies"
"2418","W MOORS & SON LTD","41201 - Construction of commercial buildings"
"2421","RAPHAEL MEDICAL CENTRE","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"2466","SPACELABS HEALTHCARE LTD","32500 - Manufacture of medical and dental instruments and supplies"
"2467","ROCHE DIAGNOSTICS LTD","74909 - Other professional, scientific and technical activities n.e.c."
"2484","PAYDENS LTD","47730 - Dispensing chemist in specialised stores"
"2546","NUFFIELD HEALTH","86900 - Other human health activities"
"2550","NUFFIELD HEALTH WARWICKSHIRE HOSPITAL","86900 - Other human health activities"
"2572","NUFFIELD HEALTH NORTH STAFFORDSHIRE","86900 - Other human health activities"
"2582","NUFFIELD HEALTH PLYMOUTH","86900 - Other human health activities"
"2591","NUFFIELD HEALTH TUNBRIDGE WELLS HOSPITAL","86900 - Other human health activities"
"2625","TRUST NUFFIELD HEALTH","86900 - Other human health activities"
"2716","NUFFIELD HOSPITALS","86900 - Other human health activities"
"2741","NUFFIELD HOSPITAL DERBY","86900 - Other human health activities"
"2946","ESSEX NUFFIELD HOSPITAL","86900 - Other human health activities"
"3865","NUFFIELD HEALTH CHESTER HOSPITAL","86900 - Other human health activities"
"4818","SCA HYGIENE PRODUCTS UK LTD","74990 - Non-trading company"
"4871","SCHUCO INTERNATIONAL (LONDON) LTD","46900 - Non-specialised wholesale trade"
"4875","BRUNELCARE","55900 - Other accommodation"
"4974","JOHN KEIL LTD","68209 - Other letting and operating of own or leased real estate"
"4977","CRUSE BEREAVEMENT CARE","88990 - Other social work activities without accommodation n.e.c."
"4978","CRUSE BEREAVEMENT CARE GLOUCESTERSHIRE","88990 - Other social work activities without accommodation n.e.c."
"4980","CRUSE BEREAVEMENT CARE (BATH & WILTS AREA)","88990 - Other social work activities without accommodation n.e.c."
"4982","EAST KENT WITH SWALE CRUSE BEREAVEMENT CARE","88990 - Other social work activities without accommodation n.e.c."
"4994","BECKMAN COULTER UK LTD","46900 - Non-specialised wholesale trade"
"5024","SUNLIGHT SERVICE GROUP LTD","74990 - Non-trading company"
"5028","ST CHRISTOPHERS HOSPICE","86101 - Hospital activities"
"5058","ATKINS LTD","70229 - Management consultancy activities other than financial management"
"5062","HEWLETT PACKARD LTD","62090 - Other information technology service activities"
"5064","HEWLETT PACKARD INC UK LTD","62090 - Other information technology service activities"
"5071","FAVERSHAM HOUSE","58142 - Publishing of  consumer and business journals and periodicals"
"5094","TELENT TECHNOLOGY SERVICES LTD","33190 - Repair of other equipment"
"5101","GLOUCESTERSHIRE WILDLIFE TRUST","94990 - Activities of other membership organizations n.e.c."
"5102","BOEHRINGER INGELHEIM LTD","21100 - Manufacture of basic pharmaceutical products"
"5103","GALLEON CARE HOMES LTD","86900 - Other human health activities"
"5151","RUNWOOD HOMES","87300 - Residential care activities for the elderly and disabled"
"5157","HF TRUST LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"5167","HFT TRUST LTD","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"5179","BIRMINGHAM INDUSTRIAL THERAPY ASSOCIATION","86900 - Other human health activities"
"5203","HILL HOUSE NURSING HOME LTD","86102 - Medical nursing home activities"
"5211","REDWALLS CARE SERVICES","86102 - Medical nursing home activities"
"5213","SAMARITANS EPSOM","94990 - Activities of other membership organizations n.e.c."
"5214","LLOYDS PHARMACY LTD","47730 - Dispensing chemist in specialised stores"
"5216","TURNING POINT","87100 - Residential nursing care facilities"
"5221","TURNINGAA POINT","87100 - Residential nursing care facilities"
"5285","TRUST TURNING POINT","87100 - Residential nursing care facilities"
"5361","CHILD ACTION NORTHWEST","87900 - Other residential care activities n.e.c."
"5363","MERCK SHARP & DOHME LTD","21100 - Manufacture of basic pharmaceutical products"
"5364","MILLBROOK HEALTHCARE LTD","86900 - Other human health activities"
"6585","SODEXO LTD","70100 - Activities of head offices"
"6589","ARRIVA TRANSPORT SOLUTIONS","49390 - Other passenger land transport"
"6686","ARRIVA TRANSPORT SOLUTIONS LTD","49390 - Other passenger land transport"
"7690","KIRKHAMS (CONTRACTORS) LTD","43220 - Plumbing, heat and air-conditioning installation"
"7693","QUEEN ELIZABETHS FOUNDATION FOR DISABLED PEOPLE","87300 - Residential care activities for the elderly and disabled"
"7700","MACINTYRE CARE","87300 - Residential care activities for the elderly and disabled"
"7709","BOOTS UK LTD","47190 - Other retail sale in non-specialised stores"
"7717","BOOTS","47190 - Other retail sale in non-specialised stores"
"7779","ST BARNABAS HOSPICE","86220 - Specialists medical practice activities"
"7811","BAYER PLC","46460 - Wholesale of pharmaceutical goods"
"7813","HUNTLEIGH HEALTHCARE LTD","32500 - Manufacture of medical and dental instruments and supplies"
"7814","SUE RYDER CARE LECKHAMPTON","86900 - Other human health activities"
"7815","SUE RYDER CARE","86900 - Other human health activities"
"7816","SUE RYDER","86900 - Other human health activities"
"7817","SUE RYDER FOUNDATION","86900 - Other human health activities"
"7824","MANORLANDS HOSPICE","86900 - Other human health activities"
"7836","SUE RYDER HOME THORPE HALL","86900 - Other human health activities"
"8043","SUE RYDER HOME","86900 - Other human health activities"
"8179","CAPGEMINI UK PLC","62020 - Information technology consultancy activities"
"8180","CAPGEMINI UK PLC TOTAL CARE UK (SURREY) LTD","62020 - Information technology consultancy activities"
"8184","ST ANNES HOSPICE","86101 - Hospital activities"
"8202","ST ANNS HOSPICE","86101 - Hospital activities"
"8268","MARKET & OPINION RESEARCH INTERNATIONAL LTD","73200 - Market research and public opinion polling"
"8270","CLEAR CHANNEL UK LTD","73110 - Advertising agencies"
"8271","NATIONAL CHILDRENS BUREAU","88990 - Other social work activities without accommodation n.e.c."
"8272","CSC COMPUTER SCIENCES LTD","62020 - Information technology consultancy activities"
"8273","CSC COMPUTER SCIENCE","62020 - Information technology consultancy activities"
"8383","NORTHGATE PUBLIC SERVICES (UK) LTD","26200 - Manufacture of computers and peripheral equipment"
"8389","SINGERS HEALTHCARE FINANCE LTD","64910 - Financial leasing"
"8390","GE HEALTHCARE LTD","21100 - Manufacture of basic pharmaceutical products"
"8422","PRESTIGE NURSING LTD","70100 - Activities of head offices"
"8461","CLAREMONT CARE SERVICES LTD","86102 - Medical nursing home activities"
"8479","PRINCEBUILD LTD","41100 - Development of building projects"
"8482","JANSSEN-CILAG LTD","21200 - Manufacture of pharmaceutical preparations"
"8492","INGRAM INSTALLATIONS LTD","33140 - Repair of electrical equipment"
"8493","AVIVA INVESTORS PENSIONS LTD","65110 - Life insurance"
"8497","PHYLLIS TUCKWELL HOSPICE","86900 - Other human health activities"
"8500","FAMILY ACTION","88990 - Other social work activities without accommodation n.e.c."
"8506","MEDTRONIC LTD","32500 - Manufacture of medical and dental instruments and supplies"
"8509","MIND IN CAMBRIDGESHIRE","88990 - Other social work activities without accommodation n.e.c."
"8550","NATIONAL UNPLANNED PREGNANCY ADVISORY SERVICE","86900 - Other human health activities"
"8633","ST ANNES COMMUNITY SERVICES","68201 - Renting and operating of Housing Association real estate"
"8790","COLOPLAST LTD","46900 - Non-specialised wholesale trade"
"8791","NHS TRUST MARIE STOPES INTERNATIONAL","86210 - General medical practice activities"
"8792","NHS TRUST  MARIE STOPES INTERNATIONAL","86210 - General medical practice activities"
"8793","UNITED RESPONSE","96090 - Other service activities n.e.c."
"8837","FAIRFIELD INDEPENDENT HOSPITAL","86101 - Hospital activities"
"8875","KIER INFRASTRUCTURE & OVERSEAS","42990 - Construction of other civil engineering projects n.e.c."
"8894","PORCHLIGHT","55900 - Other accommodation"
"8904","ST MARYS HOSPICE LTD","86900 - Other human health activities"
"8936","ST OSWALDS HOSPICE","86900 - Other human health activities"
"8941","SENAD LTD","85590 - Other education n.e.c."
"8946","ST PETERS HOSPICE","85422 - Post-graduate level higher education"
"8954","EDM GROUP LTD","62090 - Other information technology service activities"
"8955","NHS TRUST LONDON CYRENIANS HOUSING LTD","87900 - Other residential care activities n.e.c."
"8956","LONDON CYRENIANS HOUSING LTD","87900 - Other residential care activities n.e.c."
"8967","WATERHOUSE & SONS (WAKEFIELD) LTD","43390 - Other building completion and finishing"
"8973","TRACS LTD","96090 - Other service activities n.e.c."
"8976","OLYMPUS KEYMED","70100 - Activities of head offices"
"8985","BARNARDO SERVICES LTD","88990 - Other social work activities without accommodation n.e.c."
"8989","RETHINK","86900 - Other human health activities"
"9327","WILLEN HOSPICE","86900 - Other human health activities"
"9378","AGE UK LEEDS","88100 - Social work activities without accommodation for the elderly and disabled"
"9408","VICTORIA NURSING HOME LTD","74990 - Non-trading company"
"9410","MOTT MACDONALD LTD","71129 - Other engineering activities"
"9413","MOTT MACDONALD LTD TOTAL NELLSAR LTD","71129 - Other engineering activities"
"9417","ATOS IT SERVICES UK LTD","26200 - Manufacture of computers and peripheral equipment"
"9418","GS1 UK LTD","94110 - Activities of business and employers membership organizations"
"9419","CANON UK LTD","82990 - Other business support service activities n.e.c."
"9422","OTTO BOCK HEALTHCARE PLC","32500 - Manufacture of medical and dental instruments and supplies"
"9423","PENKETHS LTD","47990 - Other retail sale not in stores, stalls or markets"
"9424","FOSCOTE PRIVATE HOSPITAL (BMI)","86101 - Hospital activities"
"9428","BMI FOSCOTE HOSPITAL","86101 - Hospital activities"
"9436","LOROS","86900 - Other human health activities"
"9440","CURRIE&BROWN  UK LTD","74902 - Quantity surveying activities"
"9441","NUMED HOLDINGS LTD","86220 - Specialists medical practice activities"
"9450","HERITAGE MANOR LTD","41100 - Development of building projects"
"9454","ST GEORGES NURSING HOME LTD","86900 - Other human health activities"
"9477","WALNUT UNLIMITED LTD","73200 - Market research and public opinion polling"
"9479","M6 THEATRE CO","90030 - Artistic creation"
"9480","SERVELEC HEALTHCARE SYSTEMS LTD","62012 - Business and domestic software development"
"9485","CLARENDON LODGE","None Supplied"
"9519","SENATOR INTERNATIONAL LTD","31090 - Manufacture of other furniture"
"9524","CZAJKA PROPERTIES LTD","87100 - Residential nursing care facilities"
"9534","ASCOT RESIDENTIAL HOMES LTD","86900 - Other human health activities"
"9539","TEAL FURNITURE LTD","31090 - Manufacture of other furniture"
"9540","TUNSTALL HEALTHCARE (UK) LTD","26309 - Manufacture of communication equipment other than telegraph, and telephone apparatus and equipment"
"9577","SHEFFIELD MIND","86900 - Other human health activities"
"9578","SOUTH COAST NURSING HOMES LTD","86210 - General medical practice activities"
"9579","ABUNDANT GRACE","86210 - General medical practice activities"
"9624","HOLLY HOUSE HOSPITAL","86101 - Hospital activities"
"9818","KIDS","88910 - Child day-care activities"
"9819","BRAY LEINO LTD","73110 - Advertising agencies"
"9851","BADENOCH & CLARK","78200 - Temporary employment agency activities"
"9856","DOROTHY HOUSE FOUNDATION LTD","86900 - Other human health activities"
"9931","ST FRANCIS HOSPICE","86101 - Hospital activities"
"9958","THALASSA NURSING HOME","8512 - Medical practice activities"
"9959","DIAL HOUSE NURSING RESIDENTIAL HOME","86102 - Medical nursing home activities"
"9961","WSP UK LTD","71122 - Engineering related scientific and technical consulting activities"
"9963","STOCKDALES","86900 - Other human health activities"
"9969","BAUER RADIO LTD","70100 - Activities of head offices"
"9970","IMPACT INITIATIVES","96090 - Other service activities n.e.c."
"9972","REFUGE","96090 - Other service activities n.e.c."
"9973","TITLEWORTH NEURO LTD","87300 - Residential care activities for the elderly and disabled"
"9976","MCSA GROUP LTD","62020 - Information technology consultancy activities"
"9977","GORGEMEAD LTD T/A COHENS CHEMISTS","47730 - Dispensing chemist in specialised stores"
"9978","SPECIALIST COMPUTER CENTRES PLC","62020 - Information technology consultancy activities"
"9989","SPECIALIST COMPUTER CENTRES LTD","62020 - Information technology consultancy activities"
"9995","ST GILES HOSPICE","86101 - Hospital activities"
"10121","CURRIE MOTORS LTD","68209 - Other letting and operating of own or leased real estate"
"10124","PRICE WATERHOUSE COOPERS","99999 - Dormant Company"
"10132","RICHARD WOLF UK LTD","46900 - Non-specialised wholesale trade"
"10133","HOBSON & PORTER LTD","41201 - Construction of commercial buildings"
"10136","ST LEONARDS HOSPICE","86900 - Other human health activities"
"10150","GRIFOLS UK LTD","46900 - Non-specialised wholesale trade"
"10151","ST MARGARETS SOMERSET HOSPICE","86900 - Other human health activities"
"10320","VODAFONE LTD","33200 - Installation of industrial machinery and equipment"
"10323","VODAFONE LTD (UNIFIED COMMUNICATIONS GROUP)","33200 - Installation of industrial machinery and equipment"
"10326","BERENDSEN UK LTD","64209 - Activities of other holding companies n.e.c."
"10401","PROSPECT HOSPICE LTD","86101 - Hospital activities"
"10446","DOVE HOUSE HOSPICE","85590 - Other education n.e.c."
"10493","HOSPICE IN THE WEALD","86220 - Specialists medical practice activities"
"10511","ST LUKES HOSPICE PLYMOUTH","86900 - Other human health activities"
"10519","HOSPICE OF ST FRANCIS","87100 - Residential nursing care facilities"
"10542","OVERGATE HOSPICE","86900 - Other human health activities"
"10543","ST HELENA HOSPICE LTD","86900 - Other human health activities"
"10567","ST HELENA HOSPICE","86900 - Other human health activities"
"10606","ST GEORGES HOSPITAL LTD","86102 - Medical nursing home activities"
"10607","WIRRAL HOSPICE ST JOHNS","86900 - Other human health activities"
"10641","CLOVEMEAD LTD","41201 - Construction of commercial buildings"
"10647","SPIRE HEALTHCARE LTD","86101 - Hospital activities"
"10904","NHS TRUST SPIRE HEALTHCARE LTD","86101 - Hospital activities"
"16121","PAUL HARTMANN LTD","46460 - Wholesale of pharmaceutical goods"
"16214","ST CATHERINES HOSPICE","86900 - Other human health activities"
"16293","RAMSAY HEALTH CARE UK OPERATIONS LTD","86101 - Hospital activities"
"16294","TRINITY HOSPICE & PALLIATIVE CARE SERVICES","86101 - Hospital activities"
"16299","DIVERSE ABILITIES PLUS","85200 - Primary education"
"16303","LANSGLADE HOMES LTD","82990 - Other business support service activities n.e.c."
"16309","YOUNG GLOUCESTERSHIRE","96090 - Other service activities n.e.c."
"16311","SLIMMING WORLD","68209 - Other letting and operating of own or leased real estate"
"16330","RELATE GMS MANCHESTER","88990 - Other social work activities without accommodation n.e.c."
"16331","BTU ( INSTALLATION & MAINTENANCE) LTD","43210 - Electrical installation"
"16332","ROWCROFT HOUSE FOUNDATION LTD","86220 - Specialists medical practice activities"
"16335","ST ROCCOS HOSPICE","86900 - Other human health activities"
"16365","CAMBRIDGE EDUCATION","85200 - Primary education"
"16366","NEW WORTLEY COMMUNITY ASSOCIATION","88100 - Social work activities without accommodation for the elderly and disabled"
"16367","COMPUTACENTER (UK) LTD","62020 - Information technology consultancy activities"
"16374","COMPUTACENTER UK LTD","62020 - Information technology consultancy activities"
"16382","SOUTH LONDON NURSING HOMES LTD","87100 - Residential nursing care facilities"
"16383","REFUGEE ACTION","88990 - Other social work activities without accommodation n.e.c."
"16385","ST WILFRIDS HOSPICE","86900 - Other human health activities"
"16438","GE CAPITAL SOLUTIONS","64999 - Financial intermediation not elsewhere classified"
"16443","PRINCESS ALICE HOSPICE","85590 - Other education n.e.c."
"16480","ST CATHERINES HOSPICE LANCASHIRE LTD","85590 - Other education n.e.c."
"16502","COMPTON CARE GROUP LTD","85590 - Other education n.e.c."
"16503","COMPTON HOSPICE LTD","85590 - Other education n.e.c."
"16506","COMPTON HOSPICE","85590 - Other education n.e.c."
"16528","SEVERN HOSPICE LTD","86900 - Other human health activities"
"16534","TRUST SEVERN HOSPICE LTD","86900 - Other human health activities"
"16545","BYTES SOFTWARE SERVICES LTD","62090 - Other information technology service activities"
"16566","BRIGHTON HOUSING TRUST","85590 - Other education n.e.c."
"16581","FARLEIGH HOSPICE","86900 - Other human health activities"
"16621","MANGAR INTERNATIONAL LTD","32990 - Other manufacturing n.e.c."
"16622","COMCEN COMPUTER SUPPLIES LTD","62090 - Other information technology service activities"
"16623","MYTON HAMLET HOSPICE","86900 - Other human health activities"
"16699","CIVICA UK LTD","62090 - Other information technology service activities"
"16714","ST MICHAELS HOSPICE","86101 - Hospital activities"
"16715","ST MICHAEL'S HOSPICE","86101 - Hospital activities"
"16831","MAKING SPACE","86101 - Hospital activities"
"16919","TEESSIDE HOSPICE CARE FOUNDATION","86220 - Specialists medical practice activities"
"16943","KIRKWOOD HOSPICE","86900 - Other human health activities"
"16970","FATHER HUDSONS SOCIETY","87300 - Residential care activities for the elderly and disabled"
"16971","NORTH LONDON HOSPICE","86900 - Other human health activities"
"16974","NORTH LONDON  HOSPICE","86900 - Other human health activities"
"16977","NORTHAA LONDONAA HOSPICE","86900 - Other human health activities"
"17034","ISS MEDICLEAN LTD","56290 - Other food services"
"17254","DEVON & CORNWALL AUTISTIC COMMUNITY TRUST","86900 - Other human health activities"
"17287","HARMONI HS LTD","70100 - Activities of head offices"
"17375","CARE UK LTD","70100 - Activities of head offices"
"17547","WIGAN & LEIGH HOSPICE","86900 - Other human health activities"
"17573","ALLIED HEALTHCARE GROUP LTD","86900 - Other human health activities"
"17747","PINEWOOD NURSING HOME","41202 - Construction of domestic buildings"
"17748","SQW LTD","70229 - Management consultancy activities other than financial management"
"17751","APEX CARE HOMES LTD","87100 - Residential nursing care facilities"
"17752","EUROPEAN ELECTRONIQUE LTD","62020 - Information technology consultancy activities"
"17762","42ND STREET LTD","None Supplied"
"17798","CFH DOCMAIL LTD","18129 - Printing n.e.c."
"17803","HILLCARE LTD","41100 - Development of building projects"
"17804","LANCASHIRE COUNTY DEVELOPMENTS (PROPERTY) LTD","96090 - Other service activities n.e.c."
"17806","DANTEC DYNAMICS LTD","26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control"
"17807","NOTTINGHAM LAW CENTRE","69102 - Solicitors"
"17809","UNIT4 BUSINESS SOFTWARE LTD","62020 - Information technology consultancy activities"
"17813","CENTERPRISE INTERNATIONAL LTD","26200 - Manufacture of computers and peripheral equipment"
"17814","MORTIMER SOCIETY","87300 - Residential care activities for the elderly and disabled"
"17815","ST NICHOLAS HOSPICE CARE","87100 - Residential nursing care facilities"
"17820","SWALLOWCOURT LTD","87100 - Residential nursing care facilities"
"17865","SWALLOWCOURT GROUP","87100 - Residential nursing care facilities"
"17890","VOLUNTARY ACTION COVENTRY","88990 - Other social work activities without accommodation n.e.c."
"17894","BETTER LEEDS COMMUNITIES","88990 - Other social work activities without accommodation n.e.c."
"17895","SYSTEM C HEALTHCARE LTD","62090 - Other information technology service activities"
"17898","COMMUNITY FIRST","88990 - Other social work activities without accommodation n.e.c."
"17905","CHILDRENS TRUST (THE)","85200 - Primary education"
"17907","CHILDRENS TRUST","85200 - Primary education"
"17908","THE CHILDREN'S TRUST","85200 - Primary education"
"18014","DRAKESET LTD","43210 - Electrical installation"
"18015","NOTARO CARE HOMES","87100 - Residential nursing care facilities"
"18169","VIRGIN MEDIA BUSINESS LTD","82990 - Other business support service activities n.e.c."
"18324","VODAFONE CORPORATE LTD","99999 - Dormant Company"
"18326","MENTAL HEALTH MATTERS","86900 - Other human health activities"
"18403","PRESSBEAU LTD","87100 - Residential nursing care facilities"
"18411","IN PRACTICE SYSTEMS LTD","58290 - Other software publishing"
"18429","WINSCRIBE EUROPE LTD","82990 - Other business support service activities n.e.c."
"18432","ST ELIZABETH HOSPICE","86900 - Other human health activities"
"18440","SUSTRANS LTD","74909 - Other professional, scientific and technical activities n.e.c."
"18441","CBRE MANAGED SERVICES LTD","82990 - Other business support service activities n.e.c."
"18446","TREETOPS HOSPICE TRUST","86900 - Other human health activities"
"18460","BPAS","86220 - Specialists medical practice activities"
"19255","ST LUKES HOSPICE","86220 - Specialists medical practice activities"
"19362","KEENRICK LTD","87100 - Residential nursing care facilities"
"19365","SENSE","86900 - Other human health activities"
"19366","SENSE CHILDREN & ADULT SER","86900 - Other human health activities"
"19449","EDENPLACE LIMITED","86900 - Other human health activities"
"19456","MERSEYSIDE YOUTH ASSOCIATION LTD","88990 - Other social work activities without accommodation n.e.c."
"19486","HOYLAKE COTTAGE HOSPITAL TRUST LTD","87100 - Residential nursing care facilities"
"19508","ST LUKES (CHESHIRE) HOSPICE","86220 - Specialists medical practice activities"
"19525","ST RICHARDS HOSPICE","86900 - Other human health activities"
"19567","PERCY HEDLEY FOUNDATION","85200 - Primary education"
"19568","HAMILTON HOUSE MEDICAL LTD","87300 - Residential care activities for the elderly and disabled"
"19570","GLEBE CARE LTD","87100 - Residential nursing care facilities"
"19571","NORTHERN LIFE CARE LTD","86900 - Other human health activities"
"19591","CENTRICA BUSINESS SOLUTIONS UK LTD","27110 - Manufacture of electric motors, generators and transformers"
"19592","CULPEPER CARE LTD","87100 - Residential nursing care facilities"
"19595","BALCOMBE CARE HOMES LTD","86900 - Other human health activities"
"19599","FIRST DATABANK EUROPE LTD","62090 - Other information technology service activities"
"19601","FIRST DATABANK UK LTD","62090 - Other information technology service activities"
"19602","FIRST DATABANK","62090 - Other information technology service activities"
"19864","BAYTREES HOMES LTD","87300 - Residential care activities for the elderly and disabled"
"19870","RIVINGTON VIEW LTD","86900 - Other human health activities"
"19878","AMG CONSULTANCY SERVICES LTD","86900 - Other human health activities"
"19897","HAZELBROOK","68209 - Other letting and operating of own or leased real estate"
"19918","BOURN HALL LTD","86220 - Specialists medical practice activities"
"19986","CANTERBURY OAST TRUST LTD","87900 - Other residential care activities n.e.c."
"19988","MORRIS CARE LTD","87100 - Residential nursing care facilities"
"20017","ALPHACARE NORTHWEST","8512 - Medical practice activities"
"20019","92 HIGHER DRIVE LTD","96040 - Physical well-being activities"
"20021","92 HIGHER DRIVE LTD TOTAL ABBEY CHASE NURSING HOME","96040 - Physical well-being activities"
"20023","92 HIGHER DRIVE LTD TOTAL ACORN COURT","96040 - Physical well-being activities"
"20057","92 HIGHER DRIVE LTD TOTAL ASHCROFT CARE SERVICES","96040 - Physical well-being activities"
"20060","92 HIGHER DRIVE LTD TOTAL ACACIA LODGE","96040 - Physical well-being activities"
"20097","PRIME TIME RECRUITMENT LTD","78200 - Temporary employment agency activities"
"20098","Q ASSOCIATES LTD","62090 - Other information technology service activities"
"20099","YORKSHIRE CANCER RESEARCH","86900 - Other human health activities"
"20100","MILDMAY MISSION HOSPITAL UK","86101 - Hospital activities"
"20113","AMEY OW LTD","71122 - Engineering related scientific and technical consulting activities"
"20114","TET LTD","47410 - Retail sale of computers, peripheral units and software in specialised stores"
"20124","COMPANY SHOP LTD","47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating"
"20125","AGE UK ROTHERHAM","88990 - Other social work activities without accommodation n.e.c."
"20144","MIND IN BARNET","88100 - Social work activities without accommodation for the elderly and disabled"
"20146","ST HUGHS HOSPITAL","86101 - Hospital activities"
"20494","INTEGRATED RADIOLOGICAL SERVICES LTD","74909 - Other professional, scientific and technical activities n.e.c."
