"","ccg19cd","year","Total_Procurement_Spend","Social_Care_Procurement_Spend","Hospital_Services_Procurement_Spend","GP_Services_Procurement_Spend","Other_Health_Services_Procurement_Spend","Private_Sector_Procurement_Spend","Charity_Sector_Procurement_Spend","Health_Services_Procurement_Spend","Building_Maintenance_Procurement_Spend","Specialist_Services_Procurement_Spend","NotAssigned_Procurement_Spend","Foundational_Services_Procurement_Spend","Professional_Services_Spend","Dental_Services_Procurement_Spend","Medical_Nursing_Homes_Procurement_Spend","nogpPrivate_Sector_Procurement_Spend","NOGPTotal_Procurement_Spend","nogpHealth_Services_Procurement_Spend","Food_Procurement_Spend","Transport_Procurement_Spend","Management_Procurement_Spend","Total_Private_sector_spend","Total_Management_Procurement_Spend","lag_check_private","Avoidable_Mortality_Rate","Treatable_Mortality_Rate","Preventatable_Mortality_Rate","RGN19CD","RGN19NM","id","Unemployment_percent","Qual_lvl4_percent","BAME_percent","Est_Population","Local_Authority_Expenditure","Claimant_percent","GDHI_per_person","Local_Authority_Spend_per_pop","CCGpop","Total_Rural_population_2011","Total_Urban_population_2011","RUC11CD","RUC11","Broad_RUC11","OBJECTID","total_spend_10millions","Lagged_Private_Procurement","Lagged_Total_Spend","Lagged_Treatable_Mortality_Rate","Lagged_Local_Authority_Spend_per_pop","Lagged_Claimant_percent","Lagged_CCGpop","Lagged_Unemployment_percent","Lagged_BAME_percent","Lagged_Qual_lvl4_percent","Lagged_GDHI_per_person","dept","number_of_doctors","Treatable_Mortality_2013","Private_Sector_Procurement_Spendten","Lagged_Private_Procurementten","Preventable_Mortality_Rate_FD","Treatable_Mortality_Rate_FD","Private_Sector_Procurement_Spendten_FD","Private_Sector_Procurement_Spend_FD","Local_Authority_Spend_per_pop_FD","Claimant_percent_FD","CCGpop_FD","Unemployment_percent_FD","BAME_percent_FD","Qual_lvl4_percent_FD","total_spend_10millions_FD","GDHI_FD","Private_Sector_Procurement_Spendten_FD_lagged","Local_Authority_Spend_per_pop_FD_lagged","total_spend_10millions_FD_lagged","GDHI_FD_lagged","Private_Sector_Procurement_Spend_FD_lagged","lagged_tot_prive"
"NHS_AWC_CCG-2013","E38000001","2013",108687973,0,0,0,0.20088699234459,0.110378358054391,0.20088699234459,0.20088699234459,0.0800162130174237,0,0,0,0,0,0,0.311265350398981,108687973,0.20088699234459,0,0,0,119968,0,NA,212.1,75.6,136.4,"E12000003","Yorkshire and The Humber",1,8.45,31.85,23,290765,572787.5,3.35,16467.5,1.2194204098443,158605,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,10.8687973,NA,NA,79.1,1.17025174269167,3.95,158242,10.5,22.3,34.35,16082,"NHS_AWC_CCG",156,75.6,0.0110378358054391,NA,0.110751364292703,-0.0452565915881209,NA,NA,0.0491686671526315,-0.6,0.00229132773116447,-2.05,0.699999999999999,-2.49999999999999,NA,0.0236881074067536,NA,NA,NA,NA,NA,NA
"NHS_AWC_CCG-2014","E38000001","2014",151481790,0.0337360682099149,0.448748328099371,0,0.411461998171529,0.47738675387979,0.709765840501357,0.8602103262709,0.0709722270907942,0,0.0795428942317093,0,0.0279928036234586,0,0,1.07245431942678,151481790,0.8602103262709,0,0,0,723154,0,0.110378358054391,208.8,76.5,132.3,"E12000003","Yorkshire and The Humber",1,8.5,33.15,23,291658.5,572787.5,2.35,16784,1.21569326331543,158677,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,15.148179,0.110378358054391,10.8687973,75.6,1.2194204098443,3.35,158605,8.45,23,31.85,16467.5,"NHS_AWC_CCG",156,75.6,0.047738675387979,0.0110378358054391,-0.0305196742884517,0.0118344576470024,0.0367008395825399,0.367008395825399,-0.00372714652886463,-1,0.00045385493810457,0.0500000000000007,0,1.3,4.2793817,0.0190373101212291,NA,0.0491686671526315,NA,0.0236881074067536,NA,0.00000108687973
"NHS_AWC_CCG-2015","E38000001","2015",167592768,0,0.676814407647948,0,0.173635177384265,0.817757840242844,0.418327120177405,0.850449585032213,0.053872253007958,0,0.018091472777632,0,0.197102180447309,0,0,1.13746674319503,167592768,0.850449585032213,0,0,0,1370503,0,0.47738675387979,204.7,75.1,129.7,"E12000003","Yorkshire and The Humber",1,10,35.25,25,292852.5,560182.5,1.7,17621.5,1.20500939544622,159169,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,16.7592768,0.47738675387979,15.148179,76.5,1.21569326331543,2.35,158677,8.5,23,33.15,16784,"NHS_AWC_CCG",156,75.6,0.0817757840242844,0.047738675387979,-0.019847979798512,-0.0184701820624005,0.0340371086363054,0.340371086363054,-0.0106838678692149,-0.65,0.0030958413379647,1.5,2,2.1,1.6110978,0.0486936957641788,0.0367008395825399,-0.00372714652886463,4.2793817,0.0190373101212291,0.367008395825399,0.0000015148179
"NHS_AWC_CCG-2016","E38000001","2016",159189284,0,0.678189494212437,0.444551908406096,0.182801249360478,1.56124453703806,0.427966621170304,1.30554265197901,0.0414908581409286,0,0,0,0.519507958839742,0,0,1.87487626718571,158481605,0.864835385784994,0,0,0.45054979957068,2485334,717227,0.817757840242844,216.6,83.5,133.2,"E12000003","Yorkshire and The Humber",1,6.7,37.4,22.2,294441,557318.5,1.8,17553.5,1.19527840928754,159787,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,15.9189284,0.817757840242844,16.7592768,75.1,1.20500939544622,1.7,159169,10,25,35.25,17621.5,"NHS_AWC_CCG",156,75.6,0.156124453703806,0.0817757840242844,0.0266276667838907,0.106026073086721,0.0743486696795214,0.743486696795215,-0.0097309861586774,0.0999999999999999,0.0038751475022476,-3.3,-2.8,2.15,-0.840348399999998,-0.00386638719037258,0.0340371086363054,-0.0106838678692149,1.6110978,0.0486936957641788,0.340371086363054,0.00000167592768
"NHS_AWC_CCG-2017","E38000001","2017",191113072,0,0.539408418907106,1.51896150777169,0.498037099210042,2.72486959971006,0.458759827794511,2.55640702588884,0.134980824336286,0,0,0,0.32584793571839,0,0,3.06377332341152,188210138,1.05344697212857,0,0,0.281299439318311,5207582,537600,1.56124453703806,196.6,68.6,128,"E12000003","Yorkshire and The Humber",1,5.9,37.15,14.4,295702,519338.5,1.95,18058,1.10025122137357,159822,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,19.1113072,1.56124453703806,15.9189284,83.5,1.19527840928754,1.8,159787,6.7,22.2,37.4,17553.5,"NHS_AWC_CCG",156,75.6,0.272486959971006,0.156124453703806,-0.0398214941866719,-0.19655409712497,0.1163625062672,1.163625062672,-0.0950271879139679,0.15,0.000219017613019901,-0.8,-7.8,-0.25,3.1923788,0.0283354396575408,0.0743486696795214,-0.0097309861586774,-0.840348399999998,-0.00386638719037258,0.743486696795215,0.00000159189284
"NHS_AWC_CCG-2018","E38000001","2018",198935204,0,0.528204650997819,1.67023429397644,0.495445240551793,2.74491286117464,0.32314541975185,2.69388418552606,0,0,0,0,0.236139200380039,0,0,3.01946317137574,195612520,1.04103765955267,0,0,0.181500303988428,5460598,361068,2.72486959971006,199,70.6,128.4,"E12000003","Yorkshire and The Humber",1,4.2,37.5,27.5,297002.5,495995,2.45,18892.5,1.08918078859872,160106,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,19.8935204,2.72486959971006,19.1113072,68.6,1.10025122137357,1.95,159822,5.9,14.4,37.15,18058,"NHS_AWC_CCG",156,75.6,0.274491286117464,0.272486959971006,0.00312012733624378,0.0287376097673562,0.00200432614645757,0.020043261464576,-0.0110704327748514,0.5,0.00177539993122444,-1.7,13.1,0.350000000000001,0.782213200000001,0.04517621802745,0.1163625062672,-0.0950271879139679,3.1923788,0.0283354396575408,1.163625062672,0.00000191113072
"NHS_AWC_CCG-2019","E38000001","2019",216195184,0,0.412974509182406,1.74041064670525,0.535006829754358,3.66916498935517,0.374545808568983,2.68839198564201,0.0120659487030941,0,0.305893492983636,0,0.435168805610397,0,0,3.99717933931955,212432500,0.964772339449001,0,0,0.322887396048563,7932558,698067,2.74491286117464,NA,NA,NA,"E12000003","Yorkshire and The Humber",1,6.8,29.3,31.3,298459,490074.5,3.05,NA,1.02154734339074,160687,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,21.6195184,2.74491286117464,19.8935204,70.6,1.08918078859872,2.45,160106,4.2,27.5,37.5,18892.5,"NHS_AWC_CCG",156,75.6,0.366916498935517,0.274491286117464,NA,NA,0.0924252128180538,0.924252128180538,-0.0676334452079781,0.6,0.0036222775139727,2.6,3.8,-8.2,1.725998,NaN,0.00200432614645757,-0.0110704327748514,0.782213200000001,0.04517621802745,0.020043261464576,0.00000198935204
"NHS_AWC_CCG-2020","E38000001","2020",20971352,0,0.314419404147143,2.60215459642278,0.285851861148485,3.9266042551763,0.393393806941965,3.20242586171841,0,0,0,0,0.541562604070543,0,0,4.43541440184631,20425645,0.616308566999965,0,0,0.326984163920381,823462,68573,3.66916498935517,NA,NA,NA,"E12000003","Yorkshire and The Humber",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,2.0971352,3.66916498935517,21.6195184,NA,1.02154734339074,3.05,160687,6.8,31.3,29.3,NA,"NHS_AWC_CCG",156,75.6,0.39266042551763,0.366916498935517,NA,NA,0.0257439265821125,0.257439265821125,NA,NA,NA,NA,NA,NA,-19.5223832,NA,0.0924252128180538,-0.0676334452079781,1.725998,NaN,0.924252128180538,0.00000216195184
"NHS_AWC_CCG-2021","E38000001","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9266042551763,NA,NA,NA,"E12000003","Yorkshire and The Humber",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44863,113452,3,"Urban with Significant Rural (rural including hub towns 26-49%)","Urban with Significant Rural",0,NA,3.9266042551763,2.0971352,NA,NA,NA,NA,NA,NA,NA,NA,"NHS_AWC_CCG",156,75.6,NA,0.39266042551763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0257439265821125,NA,-19.5223832,NA,0.257439265821125,0.00000020971352
"NHS_BAB_CCG-2010","E38000007","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.4,84.8,NA,"E12000006","East of England",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,21568,226530,4,"Urban with City and Town","Predominantly Urban",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHS_BAB_CCG",178,76.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHS_BAB_CCG-2011","E38000007","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.9,75.8,129.1,"E12000006","East of England",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,21568,226530,4,"Urban with City and Town","Predominantly Urban",6,NA,NA,NA,84.8,NA,NA,NA,NA,NA,NA,NA,"NHS_BAB_CCG",178,76.3,NA,NA,NA,-0.112197250149531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHS_BAB_CCG-2012","E38000007","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,83.7,131.3,"E12000006","East of England",6,7.5,29.4,4.7,125340,44178.5,2.95,20632,0.330921344527198,250680,21568,226530,4,"Urban with City and Town","Predominantly Urban",6,NA,NA,NA,75.8,NA,NA,NA,NA,NA,NA,NA,"NHS_BAB_CCG",178,76.3,NA,NA,0.0168974834561544,0.0991406848471037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHS_BAB_CCG-2013","E38000007","2013",166669297,0.0869194282375835,1.40567641561481,0,1.4509739007299,3.60445751445151,1.49336863165626,3.32281835928065,1.15049504288723,0.466168042935946,0,0,0.081384515589575,0,0,5.03741069958434,166669297,3.32281835928065,0,0,0,6007524,0,NA,208.9,76.3,132.6,"E12000006","East of England",6,7.9,35.95,6.65,126616,49222.5,2.3,21029,0.398822833029789,253232,21568,226530,4,"Urban with City and Town","Predominantly Urban",6,16.6669297,NA,NA,83.7,0.330921344527198,2.95,250680,7.5,4.7,29.4,20632,"NHS_BAB_CCG",178,76.3,0.360445751445151,NA,0.009852296443011,-0.0925660392050185,NA,NA,0.0679014885025909,-0.65,0.0101288392344525,0.4,1.95,6.55,NA,0.019059168887523,NA,NA,NA,NA,NA,NA
