"","CompanyNumber","SICCode.SicText_1"
"1448","00495946","25990 - Manufacture of other fabricated metal products n.e.c."
"1449","00496833","47730 - Dispensing chemist in specialised stores"
"1453","00497029","85590 - Other education n.e.c."
"1461","00507597","63990 - Other information service activities n.e.c."
"2015","00520386","32500 - Manufacture of medical and dental instruments and supplies"
"2060","00520866","85310 - General secondary education"
"2078","00522846","85410 - Post-secondary non-tertiary education"
"2167","00525842","41201 - Construction of commercial buildings"
"2169","00539694","87900 - Other residential care activities n.e.c."
"2171","00550457","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"2198","00552847","86900 - Other human health activities"
"2408","00555150","88990 - Other social work activities without accommodation n.e.c."
"2417","00560972","32500 - Manufacture of medical and dental instruments and supplies"
"2418","00562937","41201 - Construction of commercial buildings"
"2421","00568116","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"2466","00570647","32500 - Manufacture of medical and dental instruments and supplies"
"2467","00571546","74909 - Other professional, scientific and technical activities n.e.c."
"2484","00574716","47730 - Dispensing chemist in specialised stores"
"2546","00576970","86900 - Other human health activities"
"4818","00577116","74990 - Non-trading company"
"4871","00592183","46900 - Non-specialised wholesale trade"
"4875","00601847","55900 - Other accommodation"
"4974","00611584","68209 - Other letting and operating of own or leased real estate"
"4977","00638709","88990 - Other social work activities without accommodation n.e.c."
"4994","00640961","46900 - Non-specialised wholesale trade"
"5024","00675417","74990 - Non-trading company"
"5028","00681880","86101 - Hospital activities"
"5058","00688424","70229 - Management consultancy activities other than financial management"
"5062","00690597","62090 - Other information technology service activities"
"5071","00692570","58142 - Publishing of  consumer and business journals and periodicals"
"5094","00703317","33190 - Repair of other equipment"
"5101","00708575","94990 - Activities of other membership organizations n.e.c."
"5102","00711858","21100 - Manufacture of basic pharmaceutical products"
"5103","00717017","86900 - Other human health activities"
"5151","00731250","87300 - Residential care activities for the elderly and disabled"
"5157","00734984","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"5179","00748773","86900 - Other human health activities"
"5203","00751259","86102 - Medical nursing home activities"
"5211","00755609","86102 - Medical nursing home activities"
"5213","00757372","94990 - Activities of other membership organizations n.e.c."
"5214","00758153","47730 - Dispensing chemist in specialised stores"
"5216","00793558","87100 - Residential nursing care facilities"
"5361","00820660","87900 - Other residential care activities n.e.c."
"5363","00820771","21100 - Manufacture of basic pharmaceutical products"
"5364","00833987","86900 - Other human health activities"
"6585","00842846","70100 - Activities of head offices"
"6589","00878006","49390 - Other passenger land transport"
"7690","00891888","43220 - Plumbing, heat and air-conditioning installation"
"7693","00892013","87300 - Residential care activities for the elderly and disabled"
"7700","00894054","87300 - Residential care activities for the elderly and disabled"
"7709","00928555","47190 - Other retail sale in non-specialised stores"
"7779","00930107","86220 - Specialists medical practice activities"
"7811","00935048","46460 - Wholesale of pharmaceutical goods"
"7813","00942245","32500 - Manufacture of medical and dental instruments and supplies"
"7814","00943228","86900 - Other human health activities"
"8179","00943935","62020 - Information technology consultancy activities"
"8184","00947220","86101 - Hospital activities"
"8268","00948470","73200 - Market research and public opinion polling"
"8270","00950526","73110 - Advertising agencies"
"8271","00952717","88990 - Other social work activities without accommodation n.e.c."
"8272","00963578","62020 - Information technology consultancy activities"
"8383","00968498","26200 - Manufacture of computers and peripheral equipment"
"8389","00983790","64910 - Financial leasing"
"8390","01002610","21100 - Manufacture of basic pharmaceutical products"
"8422","01006953","70100 - Activities of head offices"
"8461","01019714","86102 - Medical nursing home activities"
"8479","01026522","41100 - Development of building projects"
"8482","01027904","21200 - Manufacture of pharmaceutical preparations"
"8492","01056948","33140 - Repair of electrical equipment"
"8493","01059606","65110 - Life insurance"
"8497","01063033","86900 - Other human health activities"
"8500","01068186","88990 - Other social work activities without accommodation n.e.c."
"8506","01070807","32500 - Manufacture of medical and dental instruments and supplies"
"8509","01082980","88990 - Other social work activities without accommodation n.e.c."
"8550","01087755","86900 - Other human health activities"
"8633","01089026","68201 - Renting and operating of Housing Association real estate"
"8790","01094405","46900 - Non-specialised wholesale trade"
"8791","01102208","86210 - General medical practice activities"
"8793","01133776","96090 - Other service activities n.e.c."
"8837","01141676","86101 - Hospital activities"
"8875","01157281","42990 - Construction of other civil engineering projects n.e.c."
"8894","01157482","55900 - Other accommodation"
"8904","01161308","86900 - Other human health activities"
"8936","01166239","86900 - Other human health activities"
"8941","01176549","85590 - Other education n.e.c."
"8946","01191227","85422 - Post-graduate level higher education"
"8954","01193648","62090 - Other information technology service activities"
"8955","01197478","87900 - Other residential care activities n.e.c."
"8967","01199343","43390 - Other building completion and finishing"
"8973","01200842","96090 - Other service activities n.e.c."
"8976","01210694","70100 - Activities of head offices"
"8985","01227919","88990 - Other social work activities without accommodation n.e.c."
"8989","01227970","86900 - Other human health activities"
"9327","01231909","86900 - Other human health activities"
"9378","01236909","88100 - Social work activities without accommodation for the elderly and disabled"
"9408","01241916","74990 - Non-trading company"
"9410","01243967","71129 - Other engineering activities"
"9417","01245534","26200 - Manufacture of computers and peripheral equipment"
"9418","01256140","94110 - Activities of business and employers membership organizations"
"9419","01264300","82990 - Other business support service activities n.e.c."
"9422","01271967","32500 - Manufacture of medical and dental instruments and supplies"
"9423","01287607","47990 - Other retail sale not in stores, stalls or markets"
"9424","01294170","86101 - Hospital activities"
"9436","01298456","86900 - Other human health activities"
"9440","01300409","74902 - Quantity surveying activities"
"9441","01302868","86220 - Specialists medical practice activities"
"9450","01305965","41100 - Development of building projects"
"9454","01306557","86900 - Other human health activities"
"9477","01317137","73200 - Market research and public opinion polling"
"9479","01321359","90030 - Artistic creation"
"9480","01323205","62012 - Business and domestic software development"
"9485","01323627","None Supplied"
"9519","01323955","31090 - Manufacture of other furniture"
"9524","01328355","87100 - Residential nursing care facilities"
"9534","01329505","86900 - Other human health activities"
"9539","01331980","31090 - Manufacture of other furniture"
"9540","01332249","26309 - Manufacture of communication equipment other than telegraph, and telephone apparatus and equipment"
"9577","01336352","86900 - Other human health activities"
"9578","01337123","86210 - General medical practice activities"
"9624","01340973","86101 - Hospital activities"
"9818","01346252","88910 - Child day-care activities"
"9819","01352705","73110 - Advertising agencies"
"9851","01356186","78200 - Temporary employment agency activities"
"9856","01360961","86900 - Other human health activities"
"9931","01367828","86101 - Hospital activities"
"9958","01369253","8512 - Medical practice activities"
"9959","01373721","86102 - Medical nursing home activities"
"9961","01383511","71122 - Engineering related scientific and technical consulting activities"
"9963","01392344","86900 - Other human health activities"
"9969","01394141","70100 - Activities of head offices"
"9970","01402692","96090 - Other service activities n.e.c."
"9972","01412276","96090 - Other service activities n.e.c."
"9973","01416615","87300 - Residential care activities for the elderly and disabled"
"9976","01421913","62020 - Information technology consultancy activities"
"9977","01425062","47730 - Dispensing chemist in specialised stores"
"9978","01428210","62020 - Information technology consultancy activities"
"9995","01430090","86101 - Hospital activities"
"10121","01437000","68209 - Other letting and operating of own or leased real estate"
"10124","01446825","99999 - Dormant Company"
"10132","01447145","46900 - Non-specialised wholesale trade"
"10133","01448193","41201 - Construction of commercial buildings"
"10136","01451533","86900 - Other human health activities"
"10150","01456099","46900 - Non-specialised wholesale trade"
"10151","01471345","86900 - Other human health activities"
"10320","01471587","33200 - Installation of industrial machinery and equipment"
"10326","01480047","64209 - Activities of other holding companies n.e.c."
"10401","01494909","86101 - Hospital activities"
"10446","01498747","85590 - Other education n.e.c."
"10493","01499846","86220 - Specialists medical practice activities"
"10511","01505753","86900 - Other human health activities"
"10519","01507474","87100 - Residential nursing care facilities"
"10542","01510521","86900 - Other human health activities"
"10543","01511841","86900 - Other human health activities"
"10606","01513903","86102 - Medical nursing home activities"
"10607","01518364","86900 - Other human health activities"
"10641","01521707","41201 - Construction of commercial buildings"
"10647","01522532","86101 - Hospital activities"
"16121","01523121","46460 - Wholesale of pharmaceutical goods"
"16214","01525404","86900 - Other human health activities"
"16293","01532937","86101 - Hospital activities"
"16294","01537498","86101 - Hospital activities"
"16299","01540805","85200 - Primary education"
"16303","01545624","82990 - Other business support service activities n.e.c."
"16309","01547097","96090 - Other service activities n.e.c."
"16311","01555105","68209 - Other letting and operating of own or leased real estate"
"16330","01559314","88990 - Other social work activities without accommodation n.e.c."
"16331","01561231","43210 - Electrical installation"
"16332","01561601","86220 - Specialists medical practice activities"
"16335","01565543","86900 - Other human health activities"
"16365","01566758","85200 - Primary education"
"16366","01578995","88100 - Social work activities without accommodation for the elderly and disabled"
"16367","01584718","62020 - Information technology consultancy activities"
"16382","01587431","87100 - Residential nursing care facilities"
"16383","01593454","88990 - Other social work activities without accommodation n.e.c."
"16385","01594410","86900 - Other human health activities"
"16438","01596085","64999 - Financial intermediation not elsewhere classified"
"16443","01599796","85590 - Other education n.e.c."
"16480","01602467","85590 - Other education n.e.c."
"16502","01607631","85590 - Other education n.e.c."
"16528","01608025","86900 - Other human health activities"
"16545","01616977","62090 - Other information technology service activities"
"16566","01618610","85590 - Other education n.e.c."
"16581","01619905","86900 - Other human health activities"
"16621","01623146","32990 - Other manufacturing n.e.c."
"16622","01626451","62090 - Other information technology service activities"
"16623","01628455","86900 - Other human health activities"
"16699","01628868","62090 - Other information technology service activities"
"16714","01634942","86101 - Hospital activities"
"16831","01642033","86101 - Hospital activities"
"16919","01642201","86220 - Specialists medical practice activities"
"16943","01645888","86900 - Other human health activities"
"16970","01653388","87300 - Residential care activities for the elderly and disabled"
"16971","01654807","86900 - Other human health activities"
"17034","01659837","56290 - Other food services"
"17254","01662611","86900 - Other human health activities"
"17287","01668247","70100 - Activities of head offices"
"17547","01677155","86900 - Other human health activities"
"17573","01689856","86900 - Other human health activities"
"17747","01696745","41202 - Construction of domestic buildings"
"17748","01701564","70229 - Management consultancy activities other than financial management"
"17751","01702871","87100 - Residential nursing care facilities"
"17752","01704440","62020 - Information technology consultancy activities"
"17762","01706903","None Supplied"
"17798","01716891","18129 - Printing n.e.c."
"17803","01725715","41100 - Development of building projects"
"17804","01726163","96090 - Other service activities n.e.c."
"17806","01730643","26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control"
"17807","01732131","69102 - Solicitors"
"17809","01737985","62020 - Information technology consultancy activities"
"17813","01738519","26200 - Manufacture of computers and peripheral equipment"
"17814","01741444","87300 - Residential care activities for the elderly and disabled"
"17815","01748046","87100 - Residential nursing care facilities"
"17820","01748499","87100 - Residential nursing care facilities"
"17890","01752003","88990 - Other social work activities without accommodation n.e.c."
"17894","01754257","88990 - Other social work activities without accommodation n.e.c."
"17895","01754990","62090 - Other information technology service activities"
"17898","01757334","88990 - Other social work activities without accommodation n.e.c."
"17905","01757875","85200 - Primary education"
"18014","01770337","43210 - Electrical installation"
"18015","01782770","87100 - Residential nursing care facilities"
"18169","01785381","82990 - Other business support service activities n.e.c."
"18324","01786055","99999 - Dormant Company"
"18326","01786914","86900 - Other human health activities"
"18403","01787750","87100 - Residential nursing care facilities"
"18411","01788577","58290 - Other software publishing"
"18429","01792924","82990 - Other business support service activities n.e.c."
"18432","01794927","86900 - Other human health activities"
"18440","01797726","74909 - Other professional, scientific and technical activities n.e.c."
"18441","01799580","82990 - Other business support service activities n.e.c."
"18446","01801708","86900 - Other human health activities"
"18460","01803160","86220 - Specialists medical practice activities"
"19255","01812104","86220 - Specialists medical practice activities"
"19362","01816078","87100 - Residential nursing care facilities"
"19365","01825301","86900 - Other human health activities"
"19449","01836717","86900 - Other human health activities"
"19456","01843226","88990 - Other social work activities without accommodation n.e.c."
"19486","01844549","87100 - Residential nursing care facilities"
"19508","01846186","86220 - Specialists medical practice activities"
"19525","01850502","86900 - Other human health activities"
"19567","01855026","85200 - Primary education"
"19568","01857160","87300 - Residential care activities for the elderly and disabled"
"19570","01857555","87100 - Residential nursing care facilities"
"19571","01867042","86900 - Other human health activities"
"19591","01874716","27110 - Manufacture of electric motors, generators and transformers"
"19592","01875115","87100 - Residential nursing care facilities"
"19595","01875649","86900 - Other human health activities"
"19599","01880682","62090 - Other information technology service activities"
"19864","01891147","87300 - Residential care activities for the elderly and disabled"
"19870","01892013","86900 - Other human health activities"
"19878","01894875","86900 - Other human health activities"
"19897","01896337","68209 - Other letting and operating of own or leased real estate"
"19918","01897182","86220 - Specialists medical practice activities"
"19986","01897198","87900 - Other residential care activities n.e.c."
"19988","01898554","87100 - Residential nursing care facilities"
"20017","01903419","8512 - Medical practice activities"
"20019","01906108","96040 - Physical well-being activities"
"20097","01906721","78200 - Temporary employment agency activities"
"20098","01913004","62090 - Other information technology service activities"
"20099","01919823","86900 - Other human health activities"
"20100","01921087","86101 - Hospital activities"
"20113","01922327","71122 - Engineering related scientific and technical consulting activities"
"20114","01923808","47410 - Retail sale of computers, peripheral units and software in specialised stores"
"20124","01927437","47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating"
"20125","01927474","88990 - Other social work activities without accommodation n.e.c."
"20144","01930196","88100 - Social work activities without accommodation for the elderly and disabled"
"20146","01932882","86101 - Hospital activities"
"20494","01941809","74909 - Other professional, scientific and technical activities n.e.c."
"20498","01945887","87100 - Residential nursing care facilities"
"20499","01948041","46900 - Non-specialised wholesale trade"
"21086","01948293","88990 - Other social work activities without accommodation n.e.c."
"21113","01951264","82990 - Other business support service activities n.e.c."
"21200","01952719","87300 - Residential care activities for the elderly and disabled"
"21254","01953344","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"21257","01963820","86210 - General medical practice activities"
"21335","01969975","88100 - Social work activities without accommodation for the elderly and disabled"
"21339","01974198","87100 - Residential nursing care facilities"
"21401","01978338","87300 - Residential care activities for the elderly and disabled"
"21414","01980755","99999 - Dormant Company"
"21416","01985662","87100 - Residential nursing care facilities"
"21422","01991226","88990 - Other social work activities without accommodation n.e.c."
"21424","02000560","86900 - Other human health activities"
"21654","02000818","94990 - Activities of other membership organizations n.e.c."
"21659","02002499","87900 - Other residential care activities n.e.c."
"21670","02011021","87300 - Residential care activities for the elderly and disabled"
"21725","02013526","47730 - Dispensing chemist in specialised stores"
"21752","02016332","86101 - Hospital activities"
"21810","02018542","71129 - Other engineering activities"
"21832","02020165","86900 - Other human health activities"
"21837","02022285","87300 - Residential care activities for the elderly and disabled"
"21838","02027647","96090 - Other service activities n.e.c."
"21839","02029641","86900 - Other human health activities"
"21843","02033936","86101 - Hospital activities"
"21846","02036103","88910 - Child day-care activities"
"21957","02038416","86900 - Other human health activities"
"21975","02040079","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"21996","02040322","96090 - Other service activities n.e.c."
"21997","02040427","87100 - Residential nursing care facilities"
"21998","02041750","87300 - Residential care activities for the elderly and disabled"
"22035","02046379","58290 - Other software publishing"
"22055","02050075","62020 - Information technology consultancy activities"
"22057","02051703","46510 - Wholesale of computers, computer peripheral equipment and software"
"22080","02053860","85200 - Primary education"
"22081","02054311","42990 - Construction of other civil engineering projects n.e.c."
"22083","02054594","86900 - Other human health activities"
"22091","02055104","87300 - Residential care activities for the elderly and disabled"
"22094","02058163","86900 - Other human health activities"
"22098","02065343","61900 - Other telecommunications activities"
"22099","02071750","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"22101","02073465","86900 - Other human health activities"
"22105","02074469","47599 - Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store"
"22109","02080756","86101 - Hospital activities"
"22138","02081369","62020 - Information technology consultancy activities"
"22593","02083846","95110 - Repair of computers and peripheral equipment"
"22594","02084294","17290 - Manufacture of other articles of paper and paperboard n.e.c."
"22596","02085252","42990 - Construction of other civil engineering projects n.e.c."
"22597","02090829","98000 - Residents property management"
"22602","02098150","99999 - Dormant Company"
"22603","02099533","41201 - Construction of commercial buildings"
"22618","02102320","86900 - Other human health activities"
"22746","02102874","87300 - Residential care activities for the elderly and disabled"
"22760","02103630","21100 - Manufacture of basic pharmaceutical products"
"22762","02104152","88100 - Social work activities without accommodation for the elderly and disabled"
"22765","02106100","62090 - Other information technology service activities"
"22769","02106145","88100 - Social work activities without accommodation for the elderly and disabled"
"22772","02109114","86900 - Other human health activities"
"22879","02109168","62090 - Other information technology service activities"
"22893","02111989","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"22957","02114925","86900 - Other human health activities"
"22966","02115499","86900 - Other human health activities"
"23468","02117205","62012 - Business and domestic software development"
"23927","02119687","94990 - Activities of other membership organizations n.e.c."
"23928","02120194","86102 - Medical nursing home activities"
"23930","02121174","88100 - Social work activities without accommodation for the elderly and disabled"
"23935","02128699","86900 - Other human health activities"
"23942","02128897","86101 - Hospital activities"
"24174","02135425","68209 - Other letting and operating of own or leased real estate"
"24197","02141256","86101 - Hospital activities"
"24546","02145485","68100 - Buying and selling of own real estate"
"24547","02147328","86900 - Other human health activities"
"24615","02147432","73110 - Advertising agencies"
"24617","02150134","96090 - Other service activities n.e.c."
"24619","02150618","61900 - Other telecommunications activities"
"24624","02156720","87300 - Residential care activities for the elderly and disabled"
"24627","02156833","93290 - Other amusement and recreation activities n.e.c."
"24630","02158780","88990 - Other social work activities without accommodation n.e.c."
"24631","02161669","87300 - Residential care activities for the elderly and disabled"
"24634","02163717","70210 - Public relations and communications activities"
"24637","02164215","86900 - Other human health activities"
"24638","02164270","86101 - Hospital activities"
"31461","02164334","87100 - Residential nursing care facilities"
"31469","02165592","82990 - Other business support service activities n.e.c."
"31470","02166697","86210 - General medical practice activities"
"31771","02170847","26309 - Manufacture of communication equipment other than telegraph, and telephone apparatus and equipment"
"31772","02174831","87100 - Residential nursing care facilities"
"31836","02174990","62090 - Other information technology service activities"
"31918","02179048","86900 - Other human health activities"
"31941","02182135","21200 - Manufacture of pharmaceutical preparations"
"32002","02183240","62020 - Information technology consultancy activities"
"32104","02184005","86900 - Other human health activities"
"32119","02187883","86900 - Other human health activities"
"32126","02189907","82990 - Other business support service activities n.e.c."
"32127","02190949","62012 - Business and domestic software development"
"32128","02192552","87100 - Residential nursing care facilities"
"32129","02193270","86900 - Other human health activities"
"32233","02200095","47730 - Dispensing chemist in specialised stores"
"32234","02201998","86900 - Other human health activities"
"32235","02202427","63990 - Other information service activities n.e.c."
"32241","02202562","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"32242","02204085","93110 - Operation of sports facilities"
"32244","02204837","87100 - Residential nursing care facilities"
"32245","02205876","86900 - Other human health activities"
"32250","02206038","96090 - Other service activities n.e.c."
"32262","02207133","70229 - Management consultancy activities other than financial management"
"32263","02207881","98000 - Residents property management"
"32264","02208426","86102 - Medical nursing home activities"
"32278","02210681","86900 - Other human health activities"
"32279","02210699","88100 - Social work activities without accommodation for the elderly and disabled"
"32287","02210745","87300 - Residential care activities for the elderly and disabled"
"32304","02210916","87100 - Residential nursing care facilities"
"32364","02211941","88990 - Other social work activities without accommodation n.e.c."
"32366","02212959","71122 - Engineering related scientific and technical consulting activities"
"32367","02213003","86101 - Hospital activities"
"32370","02213662","86900 - Other human health activities"
"32386","02213814","87300 - Residential care activities for the elderly and disabled"
"32387","02215899","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"32433","02218757","87300 - Residential care activities for the elderly and disabled"
"32554","02220546","87100 - Residential nursing care facilities"
"32555","02221536","88100 - Social work activities without accommodation for the elderly and disabled"
"32569","02222001","70100 - Activities of head offices"
"32572","02223863","88990 - Other social work activities without accommodation n.e.c."
"32573","02225130","96090 - Other service activities n.e.c."
"32586","02225727","86900 - Other human health activities"
"32751","02226364","63990 - Other information service activities n.e.c."
"32756","02228297","35130 - Distribution of electricity"
"32762","02228358","88990 - Other social work activities without accommodation n.e.c."
"32763","02230827","87100 - Residential nursing care facilities"
"32778","02234222","86900 - Other human health activities"
"32841","02250372","86900 - Other human health activities"
"32847","02253084","47730 - Dispensing chemist in specialised stores"
"32866","02263960","86220 - Specialists medical practice activities"
"32870","02263980","86101 - Hospital activities"
"32872","02266016","63110 - Data processing, hosting and related activities"
"32876","02269526","88100 - Social work activities without accommodation for the elderly and disabled"
"32881","02270443","86900 - Other human health activities"
"32883","02272550","88100 - Social work activities without accommodation for the elderly and disabled"
"32885","02274216","82110 - Combined office administrative service activities"
"32888","02274925","86900 - Other human health activities"
"32918","02275068","86220 - Specialists medical practice activities"
"32958","02276852","62020 - Information technology consultancy activities"
"32959","02277581","62090 - Other information technology service activities"
"32960","02280991","86900 - Other human health activities"
"32969","02293907","86220 - Specialists medical practice activities"
"32970","02294089","86900 - Other human health activities"
"33002","02299189","82990 - Other business support service activities n.e.c."
"33005","02299747","62020 - Information technology consultancy activities"
"33066","02304802","86900 - Other human health activities"
"33097","02313464","61200 - Wireless telecommunications activities"
"33127","02314163","69203 - Tax consultancy"
"33276","02325905","86900 - Other human health activities"
"33290","02326410","86900 - Other human health activities"
"33315","02327806","86900 - Other human health activities"
"33332","02332388","87900 - Other residential care activities n.e.c."
"33336","02334448","88990 - Other social work activities without accommodation n.e.c."
"33424","02334459","88990 - Other social work activities without accommodation n.e.c."
"33427","02334589","87300 - Residential care activities for the elderly and disabled"
"33485","02337300","88100 - Social work activities without accommodation for the elderly and disabled"
"33490","02337692","86900 - Other human health activities"
"33718","02339094","87900 - Other residential care activities n.e.c."
"33780","02339308","68209 - Other letting and operating of own or leased real estate"
"33830","02341989","64910 - Financial leasing"
"33835","02343617","70229 - Management consultancy activities other than financial management"
"33836","02345874","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"33837","02349347","86900 - Other human health activities"
"33838","02350978","86900 - Other human health activities"
"33839","02353940","82990 - Other business support service activities n.e.c."
"33841","02354269","72110 - Research and experimental development on biotechnology"
"33842","02355417","86900 - Other human health activities"
"33843","02357520","55900 - Other accommodation"
"33846","02357992","86101 - Hospital activities"
"33847","02360153","82990 - Other business support service activities n.e.c."
"33849","02360522","62020 - Information technology consultancy activities"
"33850","02365487","87100 - Residential nursing care facilities"
"33866","02366678","36000 - Water collection, treatment and supply"
"33872","02366852","35110 - Production of electricity"
"33914","02368495","86900 - Other human health activities"
"33918","02369817","85590 - Other education n.e.c."
"33921","02374268","99999 - Dormant Company"
"33922","02380043","64910 - Financial leasing"
"33929","02382161","61900 - Other telecommunications activities"
"33935","02383157","74909 - Other professional, scientific and technical activities n.e.c."
"33936","02388150","94990 - Activities of other membership organizations n.e.c."
"33938","02389084","86102 - Medical nursing home activities"
"33980","02390375","88990 - Other social work activities without accommodation n.e.c."
"33981","02394847","62012 - Business and domestic software development"
"33982","02397038","69102 - Solicitors"
"33983","02397402","86102 - Medical nursing home activities"
"33990","02400263","88990 - Other social work activities without accommodation n.e.c."
"33991","02400969","86101 - Hospital activities"
"33992","02401660","63990 - Other information service activities n.e.c."
"33993","02403551","41201 - Construction of commercial buildings"
"34010","02408456","74909 - Other professional, scientific and technical activities n.e.c."
"34012","02410810","61900 - Other telecommunications activities"
"34287","02413137","85590 - Other education n.e.c."
"34288","02414541","86220 - Specialists medical practice activities"
"34317","02423907","86900 - Other human health activities"
"34319","02425901","87100 - Residential nursing care facilities"
"34320","02427100","86900 - Other human health activities"
"34322","02431816","70229 - Management consultancy activities other than financial management"
"34328","02432547","55900 - Other accommodation"
"34330","02435177","86102 - Medical nursing home activities"
"34331","02436777","85200 - Primary education"
"34341","02440478","62090 - Other information technology service activities"
"34342","02442956","70229 - Management consultancy activities other than financial management"
"34355","02443243","61900 - Other telecommunications activities"
"34356","02447900","87300 - Residential care activities for the elderly and disabled"
"34434","02455685","86900 - Other human health activities"
"34454","02459381","74990 - Non-trading company"
"34455","02460594","98000 - Residents property management"
"34464","02463465","70100 - Activities of head offices"
"34498","02464016","86102 - Medical nursing home activities"
"34523","02464245","99999 - Dormant Company"
"34528","02464641","82990 - Other business support service activities n.e.c."
"34532","02465350","63990 - Other information service activities n.e.c."
"34578","02466940","86220 - Specialists medical practice activities"
"34579","02472369","85600 - Educational support services"
"34580","02480440","74990 - Non-trading company"
"34582","02486564","88100 - Social work activities without accommodation for the elderly and disabled"
"34584","02488821","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"34585","02506982","85590 - Other education n.e.c."
"34658","02508811","87900 - Other residential care activities n.e.c."
"34659","02513929","87100 - Residential nursing care facilities"
"34660","02516363","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"34662","02518546","78200 - Temporary employment agency activities"
"34668","02520413","47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating"
"34672","02520727","87100 - Residential nursing care facilities"
"34757","02524945","88990 - Other social work activities without accommodation n.e.c."
"34769","02526640","86900 - Other human health activities"
"34791","02530207","82990 - Other business support service activities n.e.c."
"34794","02535848","87200 - Residential care activities for learning difficulties, mental health and substance abuse"
"34795","02535852","96090 - Other service activities n.e.c."
"34796","02537501","85590 - Other education n.e.c."
"34812","02539153","63990 - Other information service activities n.e.c."
"34814","02543818","46460 - Wholesale of pharmaceutical goods"
"34832","02548025","87900 - Other residential care activities n.e.c."
"34933","02548628","46510 - Wholesale of computers, computer peripheral equipment and software"
"34942","02554367","87100 - Residential nursing care facilities"
"34966","02555928","26200 - Manufacture of computers and peripheral equipment"
"34967","02556536","87100 - Residential nursing care facilities"
"34989","02561567","62090 - Other information technology service activities"
"34990","02565033","87300 - Residential care activities for the elderly and disabled"
"34996","02565595","87100 - Residential nursing care facilities"
"35015","02566248","31010 - Manufacture of office and shop furniture"
"35016","02571516","82990 - Other business support service activities n.e.c."
"35017","02574809","31010 - Manufacture of office and shop furniture"
"35018","02579462","87900 - Other residential care activities n.e.c."
"35020","02579852","62090 - Other information technology service activities"
"35303","02580377","86900 - Other human health activities"
"35538","02580953","85520 - Cultural education"
"35539","02585086","62012 - Business and domestic software development"
"35540","02588103","86900 - Other human health activities"
"35543","02593533","86900 - Other human health activities"
"35565","02595601","96090 - Other service activities n.e.c."
"35567","02596423","88990 - Other social work activities without accommodation n.e.c."
